,Player,Team,Age,Position,Score Type,Stoke Score,xG per 90 Percentile,Goals per 90 Percentile,Shots per 90 Percentile,Touches in box per 90 Percentile,xA per 90 Percentile,Aerial duels per 90 Percentile,xG per 90 Percentile (W),Goals per 90 Percentile (W),Shots per 90 Percentile (W),xA per 90 Percentile (W),Dribbles per 90 Percentile (W),Progressive runs per 90 Percentile (W),Passes to penalty area per 90 Percentile,xG per 90 Percentile (CAM),Goals per 90 Percentile (CAM),Shots per 90 Percentile (CAM),xA per 90 Percentile (CAM),League,Unnamed: 0
19,G. Moncini,Brescia,27.0,CF,Striker,49.85,90.0,70.0,54.0,33.0,32.0,82.0,,,,,,,,,,,,Italian Serie B,19.0
20,G. Borrelli,Brescia,23.0,"CF, RWF",Striker,49.14,72.0,89.0,47.0,56.0,22.0,94.0,,,,,,,,,,,,Italian Serie B,20.0
21,M. De Luca,Sampdoria,25.0,CF,Striker,48.43,95.0,30.0,64.0,90.0,49.0,72.0,,,,,,,,,,,,Italian Serie B,21.0
22,T. Biasci,Catanzaro,29.0,"CF, LWF, AMF",Striker,48.09,68.0,80.0,51.0,54.0,53.0,11.0,,,,,,,,,,,,Italian Serie B,22.0
23,T. Maistrello,Cittadella,30.0,CF,Striker,47.98,75.0,65.0,92.0,89.0,32.0,96.0,,,,,,,,,,,,Italian Serie B,23.0
24,S. Esposito,Sampdoria,21.0,"CF, AMF",Striker,46.39,32.0,62.0,97.0,29.0,86.0,29.0,,,,,,,,,,,,Italian Serie B,24.0
25,V. Mihăilă,Parma,24.0,"LAMF, LW, CF",Striker,46.13,44.0,59.0,80.0,85.0,90.0,16.0,,,,,,,,,,,,Italian Serie B,25.0
26,Pedro Mendes,Ascoli,24.0,"CF, RWF",Striker,45.96,42.0,89.0,16.0,16.0,32.0,97.0,,,,,,,,,,,,Italian Serie B,26.0
27,D. Verde,Spezia,27.0,"RWF, CF, AMF",Striker,45.03,54.0,67.0,78.0,18.0,86.0,1.0,,,,,,,,,,,,Italian Serie B,27.0
28,L. Moro,Spezia,23.0,CF,Striker,43.38,63.0,73.0,24.0,40.0,65.0,67.0,,,,,,,,,,,,Italian Serie B,28.0
29,D. Falcinelli,Spezia,32.0,CF,Striker,42.88,75.0,34.0,57.0,82.0,42.0,71.0,,,,,,,,,,,,Italian Serie B,29.0
30,I. Nestorovski,Ascoli,33.0,CF,Striker,41.64,85.0,43.0,67.0,78.0,32.0,84.0,,,,,,,,,,,,Italian Serie B,30.0
31,J. Manconi,Modena,29.0,"CF, AMF, LWF",Striker,41.15,24.0,37.0,90.0,50.0,80.0,25.0,,,,,,,,,,,,Italian Serie B,31.0
32,L. Strizzolo,Modena,31.0,CF,Striker,40.31,92.0,71.0,70.0,37.0,6.0,92.0,,,,,,,,,,,,Italian Serie B,32.0
33,A. Čolak,Parma,30.0,CF,Striker,40.11,63.0,91.0,74.0,86.0,3.0,73.0,,,,,,,,,,,,Italian Serie B,33.0
34,F. Vázquez,Cremonese,34.0,CF,Striker,40.0,42.0,13.0,94.0,34.0,72.0,35.0,,,,,,,,,,,,Italian Serie B,34.0
35,F. Esposito,Spezia,18.0,CF,Striker,39.9,58.0,22.0,49.0,73.0,42.0,87.0,,,,,,,,,,,,Italian Serie B,35.0
36,N. Bonfanti,Pisa,21.0,"CF, RWF",Striker,39.34,84.0,86.0,47.0,46.0,32.0,39.0,,,,,,,,,,,,Italian Serie B,36.0
37,K. Butić,FeralpiSalò,25.0,CF,Striker,39.06,61.0,51.0,64.0,80.0,10.0,54.0,,,,,,,,,,,,Italian Serie B,37.0
38,F. Abiuso,Modena,21.0,"CF, RWF",Striker,38.71,66.0,89.0,34.0,76.0,22.0,61.0,,,,,,,,,,,,Italian Serie B,38.0
39,S. Verdi,Como,31.0,"AMF, CF",Striker,38.46,52.0,51.0,59.0,1.0,80.0,8.0,,,,,,,,,,,,Italian Serie B,39.0
40,N. Pierini,Venezia,25.0,"CF, RWF, AMF",Striker,37.56,9.0,54.0,35.0,22.0,100.0,10.0,,,,,,,,,,,,Italian Serie B,40.0
41,F. Forte,Cosenza,30.0,"CF, AMF",Striker,37.42,72.0,22.0,74.0,58.0,15.0,77.0,,,,,,,,,,,,Italian Serie B,41.0
42,D. Johnsen,Cremonese,25.0,"LWF, AMF, CF",Striker,37.31,19.0,35.0,10.0,61.0,96.0,23.0,,,,,,,,,,,,Italian Serie B,42.0
43,L. Di Stefano,Modena,21.0,"CF, RW, RWF",Striker,35.76,58.0,22.0,85.0,30.0,80.0,46.0,,,,,,,,,,,,Italian Serie B,43.0
44,C. Gondo,Reggiana,27.0,CF,Striker,35.11,49.0,67.0,25.0,42.0,10.0,75.0,,,,,,,,,,,,Italian Serie B,44.0
45,R. Odogwu,Südtirol,33.0,CF,Striker,34.01,32.0,57.0,3.0,65.0,22.0,95.0,,,,,,,,,,,,Italian Serie B,45.0
46,D. Okereke,Cremonese,26.0,CF,Striker,33.94,27.0,54.0,72.0,67.0,49.0,53.0,,,,,,,,,,,,Italian Serie B,46.0
47,Pablo Rodríguez,Ascoli,22.0,"CF, LWF, AMF",Striker,33.19,32.0,19.0,9.0,75.0,65.0,47.0,,,,,,,,,,,,Italian Serie B,47.0
48,L. Tremolada,Modena,32.0,"AMF, CF",Striker,33.09,32.0,27.0,62.0,6.0,92.0,3.0,,,,,,,,,,,,Italian Serie B,48.0
49,M. Compagnon,FeralpiSalò,22.0,"CF, RW",Striker,32.7,38.0,54.0,91.0,20.0,22.0,28.0,,,,,,,,,,,,Italian Serie B,49.0
50,A. Bonny,Parma,20.0,CF,Striker,32.28,6.0,27.0,12.0,95.0,72.0,37.0,,,,,,,,,,,,Italian Serie B,50.0
51,E. Torregrossa,Pisa,31.0,CF,Striker,31.82,58.0,30.0,14.0,24.0,96.0,38.0,,,,,,,,,,,,Italian Serie B,51.0
52,G. Olzer,Brescia,22.0,"AMF, CF",Striker,31.54,15.0,6.0,54.0,53.0,92.0,70.0,,,,,,,,,,,,Italian Serie B,52.0
53,S. Merkaj,Südtirol,26.0,CF,Striker,31.45,46.0,46.0,7.0,46.0,22.0,89.0,,,,,,,,,,,,Italian Serie B,53.0
54,A. La Mantia,FeralpiSalò,32.0,CF,Striker,31.43,49.0,41.0,18.0,44.0,10.0,100.0,,,,,,,,,,,,Italian Serie B,54.0
55,E. Pecorino,Südtirol,22.0,CF,Striker,31.28,42.0,67.0,29.0,27.0,3.0,90.0,,,,,,,,,,,,Italian Serie B,55.0
56,C. Falletti,Cremonese,31.0,"AMF, CF, LCMF",Striker,29.16,15.0,11.0,29.0,13.0,99.0,4.0,,,,,,,,,,,,Italian Serie B,56.0
57,E. Gliozzi,Modena,28.0,CF,Striker,28.36,56.0,34.0,66.0,66.0,10.0,65.0,,,,,,,,,,,,Italian Serie B,57.0
58,F. Bianchi,Brescia,24.0,CF,Striker,28.15,32.0,22.0,76.0,81.0,15.0,20.0,,,,,,,,,,,,Italian Serie B,58.0
59,M. Nasti,Bari,20.0,CF,Striker,28.09,38.0,41.0,44.0,35.0,10.0,43.0,,,,,,,,,,,,Italian Serie B,59.0
60,S. Moreo,Pisa,30.0,"CF, LW",Striker,27.66,24.0,15.0,20.0,53.0,42.0,78.0,,,,,,,,,,,,Italian Serie B,60.0
61,G. Lunetta,Lecco,27.0,"RW, CF, LB",Striker,27.45,32.0,6.0,20.0,50.0,96.0,52.0,,,,,,,,,,,,Italian Serie B,61.0
62,J. Antiste,Reggiana,21.0,"RWF, CF, AMF",Striker,27.36,24.0,46.0,15.0,43.0,22.0,49.0,,,,,,,,,,,,Italian Serie B,62.0
63,A. Magrassi,Cittadella,31.0,CF,Striker,27.29,38.0,62.0,12.0,32.0,3.0,91.0,,,,,,,,,,,,Italian Serie B,63.0
64,G. Manzari,FeralpiSalò,23.0,"AMF, CF",Striker,27.06,46.0,27.0,54.0,10.0,58.0,41.0,,,,,,,,,,,,Italian Serie B,64.0
65,G. Ambrosino,Catanzaro,20.0,CF,Striker,27.05,21.0,49.0,22.0,5.0,58.0,66.0,,,,,,,,,,,,Italian Serie B,65.0
66,S. Pettinari,Reggiana,32.0,CF,Striker,26.59,52.0,59.0,37.0,37.0,6.0,57.0,,,,,,,,,,,,Italian Serie B,66.0
67,M. Antonucci,Cosenza,24.0,"CF, LWF, AMF",Striker,25.94,32.0,15.0,47.0,56.0,42.0,15.0,,,,,,,,,,,,Italian Serie B,67.0
68,B. Bjarnason,Brescia,35.0,"AMF, CF, LCMF",Striker,25.81,9.0,46.0,7.0,4.0,65.0,22.0,,,,,,,,,,,,Italian Serie B,68.0
69,C. Cassano,Cittadella,20.0,"AMF, CF",Striker,25.34,6.0,39.0,41.0,23.0,58.0,6.0,,,,,,,,,,,,Italian Serie B,69.0
70,A. Arena,Pisa,23.0,"AMF, CF, RW",Striker,24.51,15.0,17.0,32.0,40.0,80.0,9.0,,,,,,,,,,,,Italian Serie B,70.0
71,J. Mlakar,Pisa,25.0,"CF, LAMF",Striker,20.32,15.0,30.0,1.0,11.0,49.0,30.0,,,,,,,,,,,,Italian Serie B,71.0
72,A. Favilli,Ternana,26.0,CF,Striker,18.78,15.0,6.0,43.0,19.0,22.0,99.0,,,,,,,,,,,,Italian Serie B,72.0
73,M. Rover,Südtirol,24.0,"RW, LW, CF",Striker,18.29,21.0,6.0,29.0,8.0,65.0,34.0,,,,,,,,,,,,Italian Serie B,73.0
74,N. Rauti,Südtirol,23.0,"CF, RW",Striker,17.65,9.0,17.0,27.0,25.0,32.0,51.0,,,,,,,,,,,,Italian Serie B,74.0
75,S. Żurkowski,Spezia,26.0,"AMF, RCMF, CF",Striker,17.17,1.0,6.0,5.0,28.0,86.0,5.0,,,,,,,,,,,,Italian Serie B,75.0
76,Muhamed Djamanca,Reggiana,25.0,"CF, RWF",Striker,16.79,9.0,6.0,22.0,15.0,53.0,56.0,,,,,,,,,,,,Italian Serie B,76.0
77,A. Tessiore,Cittadella,24.0,"AMF, CF",Striker,14.64,3.0,6.0,4.0,3.0,80.0,19.0,,,,,,,,,,,,Italian Serie B,77.0
78,M. Stoppa,Catanzaro,23.0,"CF, LW, RW",Striker,11.71,4.0,6.0,33.0,9.0,42.0,14.0,,,,,,,,,,,,Italian Serie B,78.0
79,D. Casiraghi,Südtirol,30.0,"LW, LCMF",Winger,89.02,,,,,,,91.0,99.0,52.0,91.0,89.0,82.0,81.0,,,,,Italian Serie B,79.0
80,D. Man,Parma,25.0,"RAMF, RW",Winger,87.61,,,,,,,99.0,100.0,78.0,85.0,96.0,99.0,88.0,,,,,Italian Serie B,80.0
81,G. Sibilli,Bari,27.0,"AMF, LWF, CF",Winger,80.86,,,,,,,84.0,95.0,86.0,66.0,93.0,80.0,78.0,,,,,Italian Serie B,81.0
82,J. Vandeputte,Catanzaro,28.0,"LW, LWB",Winger,73.73,,,,,,,56.0,76.0,62.0,95.0,61.0,75.0,79.0,,,,,Italian Serie B,82.0
83,D. Johnsen,Cremonese,25.0,"LWF, AMF, CF",Winger,71.07,,,,,,,56.0,63.0,31.0,85.0,87.0,92.0,87.0,,,,,Italian Serie B,83.0
84,D. Verde,Spezia,27.0,"RWF, CF, AMF",Winger,65.34,,,,,,,86.0,86.0,87.0,66.0,64.0,55.0,92.0,,,,,Italian Serie B,84.0
85,Estanis Pedrola,Sampdoria,20.0,"RWF, LWF, LW",Winger,64.96,,,,,,,67.0,88.0,68.0,92.0,94.0,93.0,71.0,,,,,Italian Serie B,85.0
86,S. Verdi,Como,31.0,"AMF, CF",Winger,64.54,,,,,,,84.0,78.0,78.0,59.0,85.0,59.0,68.0,,,,,Italian Serie B,86.0
87,Adrián Bernabé,Parma,22.0,"RDMF, AMF, RCMF",Winger,63.88,,,,,,,46.0,78.0,64.0,52.0,56.0,86.0,85.0,,,,,Italian Serie B,87.0
88,F. Di Francesco,Palermo,29.0,"LAMF, LW, LWF",Winger,63.17,,,,,,,84.0,76.0,58.0,28.0,91.0,60.0,91.0,,,,,Italian Serie B,88.0
89,R. Insigne,Palermo,29.0,"RAMF, RWF, RW",Winger,61.77,,,,,,,64.0,63.0,81.0,100.0,60.0,64.0,96.0,,,,,Italian Serie B,89.0
90,N. Pierini,Venezia,25.0,"CF, RWF, AMF",Winger,61.02,,,,,,,46.0,81.0,60.0,96.0,44.0,42.0,75.0,,,,,Italian Serie B,90.0
91,N. Buso,Lecco,24.0,"LW, LWF, CF",Winger,60.08,,,,,,,95.0,84.0,91.0,38.0,68.0,62.0,19.0,,,,,Italian Serie B,91.0
92,C. Falletti,Cremonese,31.0,"AMF, CF, LCMF",Winger,59.02,,,,,,,52.0,29.0,55.0,92.0,49.0,74.0,83.0,,,,,Italian Serie B,92.0
93,F. Distefano,Ternana,20.0,"CF, AMF",Winger,58.88,,,,,,,91.0,91.0,91.0,75.0,66.0,38.0,53.0,,,,,Italian Serie B,93.0
94,N. Girma,Reggiana,22.0,"LWF, AMF, LW",Winger,58.58,,,,,,,75.0,88.0,73.0,31.0,81.0,78.0,42.0,,,,,Italian Serie B,94.0
95,V. Mihăilă,Parma,24.0,"LAMF, LW, CF",Winger,56.91,,,,,,,78.0,82.0,88.0,71.0,58.0,64.0,62.0,,,,,Italian Serie B,95.0
96,L. Tramoni,Pisa,20.0,"RWB, RAMF, RW",Winger,55.19,,,,,,,26.0,71.0,21.0,52.0,100.0,98.0,95.0,,,,,Italian Serie B,96.0
97,R. Kouda,Spezia,21.0,"AMF, RCMF, RWF",Winger,54.89,,,,,,,76.0,58.0,96.0,52.0,79.0,51.0,67.0,,,,,Italian Serie B,97.0
98,S. Esposito,Sampdoria,21.0,"CF, AMF",Winger,54.78,,,,,,,71.0,84.0,99.0,66.0,71.0,13.0,32.0,,,,,Italian Serie B,98.0
99,C. Buonaiuto,Cremonese,30.0,"LCMF, LW",Winger,52.7,,,,,,,87.0,15.0,100.0,75.0,98.0,89.0,99.0,,,,,Italian Serie B,99.0
100,M. Chajia,Como,25.0,"LAMF, LW, AMF",Winger,52.59,,,,,,,60.0,15.0,84.0,85.0,99.0,96.0,75.0,,,,,Italian Serie B,100.0
101,C. Cassano,Cittadella,20.0,"AMF, CF",Winger,52.58,,,,,,,37.0,69.0,66.0,38.0,88.0,68.0,59.0,,,,,Italian Serie B,101.0
102,M. Valoti,Pisa,30.0,"AMF, CF, LCMF",Winger,52.46,,,,,,,96.0,96.0,91.0,24.0,19.0,51.0,55.0,,,,,Italian Serie B,102.0
103,A. Benedyczak,Parma,23.0,"LAMF, LW, CF",Winger,50.99,,,,,,,98.0,98.0,67.0,19.0,34.0,27.0,46.0,,,,,Italian Serie B,103.0
104,L. da Cunha,Como,22.0,"LAMF, AMF",Winger,50.38,,,,,,,8.0,63.0,32.0,85.0,37.0,72.0,64.0,,,,,Italian Serie B,104.0
105,M. Marras,Cosenza,30.0,"RW, RAMF",Winger,50.07,,,,,,,10.0,50.0,13.0,47.0,76.0,85.0,94.0,,,,,Italian Serie B,105.0
106,M. D'Alessandro,Pisa,32.0,"RW, LW, LWB",Winger,49.99,,,,,,,41.0,15.0,50.0,89.0,95.0,100.0,65.0,,,,,Italian Serie B,106.0
107,J. Manconi,Modena,29.0,"CF, AMF, LWF",Winger,49.62,,,,,,,64.0,66.0,95.0,59.0,51.0,44.0,22.0,,,,,Italian Serie B,107.0
108,M. Compagnon,FeralpiSalò,22.0,"CF, RW",Winger,49.62,,,,,,,75.0,81.0,98.0,15.0,84.0,47.0,16.0,,,,,Italian Serie B,108.0
109,F. Di Mariano,Palermo,27.0,"RWF, RAMF, LWF",Winger,49.31,,,,,,,21.0,15.0,7.0,99.0,72.0,76.0,93.0,,,,,Italian Serie B,109.0
110,A. Partipilo,Parma,29.0,"RW, RAMF",Winger,48.74,,,,,,,81.0,93.0,61.0,31.0,78.0,31.0,71.0,,,,,Italian Serie B,110.0
111,L. Tremolada,Modena,32.0,"AMF, CF",Winger,48.53,,,,,,,71.0,54.0,81.0,75.0,12.0,24.0,100.0,,,,,Italian Serie B,111.0
112,F. Borini,Sampdoria,32.0,"CF, AMF, LWF",Winger,48.45,,,,,,,100.0,95.0,82.0,52.0,25.0,12.0,28.0,,,,,Italian Serie B,112.0
113,A. Vita,Cittadella,30.0,"RCMF, AMF",Winger,47.16,,,,,,,21.0,63.0,29.0,71.0,18.0,33.0,76.0,,,,,Italian Serie B,113.0
114,A. Arena,Pisa,23.0,"AMF, CF, RW",Winger,47.03,,,,,,,52.0,42.0,56.0,59.0,74.0,78.0,60.0,,,,,Italian Serie B,114.0
115,L. Di Stefano,Modena,21.0,"CF, RW, RWF",Winger,45.52,,,,,,,88.0,50.0,93.0,59.0,65.0,69.0,19.0,,,,,Italian Serie B,115.0
116,Pablo Rodríguez,Ascoli,22.0,"CF, LWF, AMF",Winger,45.42,,,,,,,71.0,46.0,29.0,44.0,58.0,45.0,21.0,,,,,Italian Serie B,116.0
117,T. Biasci,Catanzaro,29.0,"CF, LWF, AMF",Winger,43.75,,,,,,,93.0,92.0,71.0,31.0,8.0,16.0,9.0,,,,,Italian Serie B,117.0
118,G. Olzer,Brescia,22.0,"AMF, CF",Winger,42.89,,,,,,,52.0,15.0,76.0,75.0,92.0,54.0,44.0,,,,,Italian Serie B,118.0
119,D. Di Molfetta,FeralpiSalò,27.0,"LCMF, LW, LWF",Winger,42.82,,,,,,,46.0,15.0,41.0,80.0,55.0,71.0,38.0,,,,,Italian Serie B,119.0
120,R. Ciervo,Südtirol,21.0,"RW, RB",Winger,42.49,,,,,,,3.0,34.0,6.0,38.0,75.0,88.0,83.0,,,,,Italian Serie B,120.0
121,L. Mancuso,Palermo,31.0,"LAMF, LWF, CF",Winger,42.23,,,,,,,89.0,89.0,94.0,66.0,27.0,1.0,24.0,,,,,Italian Serie B,121.0
122,M. Portanova,Reggiana,23.0,"RCMF, RWB, AMF",Winger,40.61,,,,,,,31.0,42.0,36.0,38.0,69.0,36.0,40.0,,,,,Italian Serie B,122.0
123,S. Mazzocchi,Cosenza,25.0,"LW, AMF, LAMF",Winger,40.35,,,,,,,79.0,60.0,65.0,19.0,42.0,28.0,7.0,,,,,Italian Serie B,123.0
124,F. Melegoni,Reggiana,24.0,"LWF, LW, AMF",Winger,40.23,,,,,,,52.0,50.0,25.0,66.0,54.0,62.0,27.0,,,,,Italian Serie B,124.0
125,G. Lunetta,Lecco,27.0,"RW, CF, LB",Winger,40.2,,,,,,,71.0,15.0,43.0,85.0,82.0,41.0,41.0,,,,,Italian Serie B,125.0
126,V. Parigini,Lecco,27.0,"RWF, RWB, LW",Winger,40.13,,,,,,,26.0,15.0,45.0,52.0,86.0,94.0,79.0,,,,,Italian Serie B,126.0
127,D. Sounas,Catanzaro,29.0,RW,Winger,39.88,,,,,,,31.0,69.0,5.0,47.0,32.0,34.0,49.0,,,,,Italian Serie B,127.0
128,M. Falzerano,Ascoli,32.0,"RWB, LCMF, LW",Winger,39.5,,,,,,,14.0,32.0,16.0,47.0,80.0,40.0,52.0,,,,,Italian Serie B,128.0
129,V. Verre,Sampdoria,30.0,"AMF, LCMF",Winger,38.98,,,,,,,41.0,15.0,71.0,80.0,31.0,21.0,86.0,,,,,Italian Serie B,129.0
130,N. Galazzi,Brescia,23.0,"LWB, RW, LCMF",Winger,38.84,,,,,,,3.0,38.0,15.0,95.0,44.0,36.0,73.0,,,,,Italian Serie B,130.0
131,B. Bjarnason,Brescia,35.0,"AMF, CF, LCMF",Winger,38.43,,,,,,,46.0,74.0,27.0,44.0,5.0,38.0,31.0,,,,,Italian Serie B,131.0
132,M. Antonucci,Cosenza,24.0,"CF, LWF, AMF",Winger,37.68,,,,,,,71.0,32.0,69.0,24.0,53.0,25.0,57.0,,,,,Italian Serie B,132.0
133,G. Manzari,FeralpiSalò,23.0,"AMF, CF",Winger,37.48,,,,,,,79.0,54.0,76.0,38.0,40.0,58.0,26.0,,,,,Italian Serie B,133.0
134,J. Antiste,Reggiana,21.0,"RWF, CF, AMF",Winger,37.34,,,,,,,64.0,74.0,35.0,15.0,16.0,45.0,14.0,,,,,Italian Serie B,134.0
135,L. Henderson,Palermo,27.0,"AMF, RCMF",Winger,36.66,,,,,,,14.0,38.0,38.0,98.0,6.0,31.0,98.0,,,,,Italian Serie B,135.0
136,S. Sohm,Parma,22.0,"AMF, LCMF, LDMF",Winger,36.0,,,,,,,35.0,15.0,14.0,52.0,46.0,73.0,47.0,,,,,Italian Serie B,136.0
137,B. Bjarkason,Venezia,23.0,"RCMF, RW, RAMF",Winger,35.47,,,,,,,41.0,46.0,45.0,38.0,41.0,82.0,33.0,,,,,Italian Serie B,137.0
138,M. Rover,Südtirol,24.0,"RW, LW, CF",Winger,35.25,,,,,,,60.0,15.0,55.0,44.0,52.0,84.0,66.0,,,,,Italian Serie B,138.0
139,E. Duca,Modena,26.0,"LCMF, RCMF, AMF",Winger,35.0,,,,,,,26.0,67.0,50.0,8.0,48.0,91.0,25.0,,,,,Italian Serie B,139.0
140,S. Żurkowski,Spezia,26.0,"AMF, RCMF, CF",Winger,33.44,,,,,,,14.0,15.0,26.0,66.0,47.0,95.0,54.0,,,,,Italian Serie B,140.0
141,E. Vignato,Salernitana,23.0,"LW, AMF, LAMF",Winger,32.01,,,,,,,41.0,15.0,52.0,85.0,20.0,67.0,57.0,,,,,Italian Serie B,141.0
142,M. Ellertsson,Venezia,21.0,"LCMF, LW",Winger,28.49,,,,,,,14.0,58.0,20.0,24.0,21.0,54.0,18.0,,,,,Italian Serie B,142.0
143,M. Stoppa,Catanzaro,23.0,"CF, LW, RW",Winger,27.95,,,,,,,35.0,15.0,59.0,24.0,62.0,87.0,29.0,,,,,Italian Serie B,143.0
144,F. Forte,Cosenza,30.0,"CF, AMF",Winger,27.71,,,,,,,94.0,50.0,85.0,8.0,4.0,5.0,1.0,,,,,Italian Serie B,144.0
145,V. Mastrantonio,Cittadella,24.0,"LCMF, AMF",Winger,27.69,,,,,,,37.0,15.0,40.0,80.0,29.0,25.0,44.0,,,,,Italian Serie B,145.0
146,S. Moreo,Pisa,30.0,"CF, LW",Winger,27.26,,,,,,,64.0,32.0,43.0,24.0,24.0,21.0,7.0,,,,,Italian Serie B,146.0
147,J. Mlakar,Pisa,25.0,"CF, LAMF",Winger,26.85,,,,,,,52.0,58.0,8.0,28.0,7.0,7.0,11.0,,,,,Italian Serie B,147.0
148,A. Iovine,Como,33.0,"RWB, RAMF, RB",Winger,25.85,,,,,,,21.0,15.0,9.0,75.0,9.0,14.0,89.0,,,,,Italian Serie B,148.0
149,N. Rauti,Südtirol,23.0,"CF, RW",Winger,24.72,,,,,,,46.0,42.0,48.0,19.0,39.0,18.0,7.0,,,,,Italian Serie B,149.0
150,M. Aramu,Bari,28.0,"RWF, AMF",Winger,24.39,,,,,,,31.0,15.0,47.0,66.0,37.0,9.0,38.0,,,,,Italian Serie B,150.0
151,A. Tessiore,Cittadella,24.0,"AMF, CF",Winger,23.09,,,,,,,21.0,15.0,22.0,59.0,35.0,19.0,51.0,,,,,Italian Serie B,151.0
152,A. Florenzi,Cosenza,21.0,"LAMF, LCMF, LW",Winger,22.95,,,,,,,31.0,15.0,18.0,31.0,29.0,49.0,48.0,,,,,Italian Serie B,152.0
153,A. Jallow,Brescia,25.0,"LW, LB, RB",Winger,22.9,,,,,,,6.0,42.0,2.0,8.0,34.0,31.0,69.0,,,,,Italian Serie B,153.0
154,I. Voca,Cosenza,26.0,"AMF, LCMF",Winger,21.64,,,,,,,26.0,71.0,19.0,3.0,14.0,8.0,4.0,,,,,Italian Serie B,154.0
155,D. Guglielmotti,Lecco,29.0,"RB, RWB, RW",Winger,21.09,,,,,,,6.0,15.0,12.0,1.0,72.0,56.0,36.0,,,,,Italian Serie B,155.0
156,N. Lella,Venezia,23.0,"RW, RCMF, LCMF",Winger,20.29,,,,,,,56.0,15.0,34.0,8.0,22.0,15.0,61.0,,,,,Italian Serie B,156.0
157,G. Piccinini,Pisa,22.0,"RCMF, AMF, LCMF",Winger,19.54,,,,,,,21.0,36.0,24.0,34.0,11.0,11.0,13.0,,,,,Italian Serie B,157.0
158,T. Milanese,Ascoli,21.0,"LCMF, LAMF, RCMF",Winger,19.13,,,,,,,10.0,15.0,39.0,8.0,67.0,66.0,2.0,,,,,Italian Serie B,158.0
159,A. Vasić,Palermo,21.0,"RCMF, AMF, RW",Winger,18.77,,,,,,,60.0,15.0,33.0,15.0,16.0,22.0,34.0,,,,,Italian Serie B,159.0
160,M. Coulibaly,Palermo,24.0,"AMF, LCMF, LDMF",Winger,14.56,,,,,,,21.0,54.0,1.0,3.0,13.0,4.0,5.0,,,,,Italian Serie B,160.0
161,M. Bertagnoli,Brescia,24.0,"RCMF, LCMF, LAMF",Winger,14.5,,,,,,,5.0,36.0,11.0,8.0,26.0,6.0,12.0,,,,,Italian Serie B,161.0
162,F. Caligara,Ascoli,23.0,"RW, RCMF, LCMF",Winger,13.78,,,,,,,14.0,46.0,74.0,15.0,2.0,2.0,15.0,,,,,Italian Serie B,162.0
163,D. Baselli,Como,31.0,"LDMF, LCMF, AMF",Winger,10.75,,,,,,,1.0,15.0,4.0,8.0,1.0,48.0,35.0,,,,,Italian Serie B,163.0
164,D. Man,Parma,25.0,"RAMF, RW",Attacking Midfield,90.54,,,,,,,,,,,,,,98.0,100.0,76.0,89.0,Italian Serie B,164.0
165,G. Sibilli,Bari,27.0,"AMF, LWF, CF",Attacking Midfield,85.13,,,,,,,,,,,,,,84.0,94.0,87.0,66.0,Italian Serie B,165.0
166,D. Johnsen,Cremonese,25.0,"LWF, AMF, CF",Attacking Midfield,74.23,,,,,,,,,,,,,,56.0,58.0,31.0,89.0,Italian Serie B,166.0
167,Adrián Bernabé,Parma,22.0,"RDMF, AMF, RCMF",Attacking Midfield,70.21,,,,,,,,,,,,,,44.0,76.0,59.0,49.0,Italian Serie B,167.0
168,D. Verde,Spezia,27.0,"RWF, CF, AMF",Attacking Midfield,70.16,,,,,,,,,,,,,,87.0,84.0,89.0,66.0,Italian Serie B,168.0
169,S. Verdi,Como,31.0,"AMF, CF",Attacking Midfield,67.52,,,,,,,,,,,,,,84.0,76.0,76.0,57.0,Italian Serie B,169.0
170,R. Insigne,Palermo,29.0,"RAMF, RWF, RW",Attacking Midfield,66.86,,,,,,,,,,,,,,62.0,58.0,80.0,100.0,Italian Serie B,170.0
171,C. Falletti,Cremonese,31.0,"AMF, CF, LCMF",Attacking Midfield,64.98,,,,,,,,,,,,,,51.0,26.0,51.0,93.0,Italian Serie B,171.0
172,F. Di Francesco,Palermo,29.0,"LAMF, LW, LWF",Attacking Midfield,64.87,,,,,,,,,,,,,,84.0,74.0,54.0,24.0,Italian Serie B,172.0
173,N. Pierini,Venezia,25.0,"CF, RWF, AMF",Attacking Midfield,60.42,,,,,,,,,,,,,,44.0,79.0,56.0,95.0,Italian Serie B,173.0
174,N. Girma,Reggiana,22.0,"LWF, AMF, LW",Attacking Midfield,59.27,,,,,,,,,,,,,,72.0,85.0,70.0,29.0,Italian Serie B,174.0
175,V. Mihăilă,Parma,24.0,"LAMF, LW, CF",Attacking Midfield,58.74,,,,,,,,,,,,,,75.0,80.0,90.0,73.0,Italian Serie B,175.0
176,L. Tramoni,Pisa,20.0,"RWB, RAMF, RW",Attacking Midfield,58.44,,,,,,,,,,,,,,25.0,68.0,18.0,49.0,Italian Serie B,176.0
177,R. Kouda,Spezia,21.0,"AMF, RCMF, RWF",Attacking Midfield,57.41,,,,,,,,,,,,,,74.0,52.0,98.0,49.0,Italian Serie B,177.0
178,L. da Cunha,Como,22.0,"LAMF, AMF",Attacking Midfield,57.25,,,,,,,,,,,,,,5.0,58.0,33.0,89.0,Italian Serie B,178.0
179,F. Distefano,Ternana,20.0,"CF, AMF",Attacking Midfield,56.38,,,,,,,,,,,,,,90.0,89.0,93.0,78.0,Italian Serie B,179.0
